1 TRUE radius:115.203140 length:481.165449 polydispersity:0.128839 contrast:2.107996 REGRESSED radius:115.553394 length:394.493496 polydispersity:0.241030 contrast:2.106214
3 TRUE radius:61.022955 length:253.180783 polydispersity:0.214493 contrast:2.928848 REGRESSED radius:60.926028 length:256.013103 polydispersity:0.230421 contrast:2.926395
4 TRUE radius:118.858336 length:481.240148 polydispersity:0.301534 contrast:1.755096 REGRESSED radius:117.527108 length:479.686591 polydispersity:0.235309 contrast:1.749709
5 TRUE radius:25.500892 length:113.065315 polydispersity:0.330156 contrast:1.740234 REGRESSED radius:24.872700 length:126.770115 polydispersity:0.231433 contrast:1.735862
6 TRUE radius:81.059557 length:336.325320 polydispersity:0.291830 contrast:1.141019 REGRESSED radius:80.678892 length:385.378520 polydispersity:0.210430 contrast:1.137885
7 TRUE radius:96.420833 length:419.407562 polydispersity:0.183902 contrast:2.119591 REGRESSED radius:96.028690 length:371.395440 polydispersity:0.197656 contrast:2.113945
8 TRUE radius:89.804048 length:380.120971 polydispersity:0.155061 contrast:2.392783 REGRESSED radius:89.530467 length:357.422419 polydispersity:0.203853 contrast:2.386984
9 TRUE radius:74.299181 length:328.177859 polydispersity:0.208237 contrast:1.056270 REGRESSED radius:74.764541 length:366.818663 polydispersity:0.215564 contrast:1.057529
11 TRUE radius:155.688011 length:652.912404 polydispersity:0.281753 contrast:2.905338 REGRESSED radius:157.589841 length:587.303259 polydispersity:0.227923 contrast:2.932199
12 TRUE radius:34.649539 length:147.126252 polydispersity:0.168987 contrast:2.650421 REGRESSED radius:34.812684 length:156.352683 polydispersity:0.209145 contrast:2.660769
13 TRUE radius:101.298346 length:430.382263 polydispersity:0.165945 contrast:2.878193 REGRESSED radius:101.223587 length:392.654175 polydispersity:0.194012 contrast:2.882874
14 TRUE radius:50.962157 length:222.042642 polydispersity:0.159340 contrast:0.832853 REGRESSED radius:51.060625 length:228.456984 polydispersity:0.218243 contrast:0.832427
16 TRUE radius:116.307065 length:496.036993 polydispersity:0.262166 contrast:3.246505 REGRESSED radius:115.619459 length:480.652004 polydispersity:0.252465 contrast:3.253328
17 TRUE radius:26.854251 length:115.726329 polydispersity:0.128608 contrast:2.484710 REGRESSED radius:27.141400 length:116.613771 polydispersity:0.233101 contrast:2.483743
18 TRUE radius:121.153502 length:518.812160 polydispersity:0.299627 contrast:1.308322 REGRESSED radius:120.681173 length:528.014224 polydispersity:0.230708 contrast:1.300738
19 TRUE radius:27.985567 length:114.363867 polydispersity:0.336342 contrast:1.231512 REGRESSED radius:26.633467 length:129.621933 polydispersity:0.224437 contrast:1.222256
20 TRUE radius:59.222413 length:245.469999 polydispersity:0.263880 contrast:2.929058 REGRESSED radius:59.060700 length:254.456535 polydispersity:0.228656 contrast:2.930707
21 TRUE radius:41.928311 length:169.515823 polydispersity:0.329672 contrast:1.736630 REGRESSED radius:41.380824 length:194.367374 polydispersity:0.213514 contrast:1.735945
22 TRUE radius:59.805613 length:256.264415 polydispersity:0.161159 contrast:3.001356 REGRESSED radius:59.678950 length:250.107434 polydispersity:0.230198 contrast:2.997709
23 TRUE radius:142.356487 length:614.832650 polydispersity:0.327014 contrast:1.055155 REGRESSED radius:140.146849 length:641.810296 polydispersity:0.227072 contrast:1.054105
24 TRUE radius:25.538068 length:112.119023 polydispersity:0.243829 contrast:2.073430 REGRESSED radius:25.375291 length:119.118482 polydispersity:0.233668 contrast:2.070817
25 TRUE radius:61.440430 length:258.990953 polydispersity:0.140526 contrast:1.589014 REGRESSED radius:61.779139 length:246.608714 polydispersity:0.224077 contrast:1.582288
26 TRUE radius:30.497119 length:133.954979 polydispersity:0.159923 contrast:1.300113 REGRESSED radius:30.400100 length:134.073262 polydispersity:0.219604 contrast:1.293307
27 TRUE radius:29.872895 length:128.019677 polydispersity:0.157619 contrast:1.552495 REGRESSED radius:29.818299 length:128.469137 polydispersity:0.221371 contrast:1.546551
28 TRUE radius:28.710731 length:122.667963 polydispersity:0.234198 contrast:1.705708 REGRESSED radius:28.381857 length:128.530518 polydispersity:0.224488 contrast:1.699893
29 TRUE radius:28.412057 length:117.465050 polydispersity:0.288630 contrast:2.533511 REGRESSED radius:27.919869 length:132.213334 polydispersity:0.228368 contrast:2.532402
30 TRUE radius:128.159124 length:514.551500 polydispersity:0.211439 contrast:3.311969 REGRESSED radius:128.392090 length:505.589220 polydispersity:0.221837 contrast:3.314442
31 TRUE radius:47.234106 length:189.932174 polydispersity:0.133736 contrast:2.374298 REGRESSED radius:47.559521 length:189.017675 polydispersity:0.219865 contrast:2.377375
33 TRUE radius:50.866413 length:215.198641 polydispersity:0.287028 contrast:3.201616 REGRESSED radius:50.907837 length:234.679547 polydispersity:0.218028 contrast:3.205842
