1 TRUE radius:116.370258 shell:31.625735 polydispersity:0.320067 contrast:2.316160 contrast_2:2.136918 REGRESSED radius:137.789421 shell:81.077158 polydispersity:0.263542 contrast:2.241477 contrast_2:2.163326
2 TRUE radius:350.465450 shell:192.583864 polydispersity:0.163711 contrast:2.654197 contrast_2:3.270060 REGRESSED radius:352.131794 shell:175.042825 polydispersity:0.129485 contrast:2.824724 contrast_2:3.162202
4 TRUE radius:412.940893 shell:221.080628 polydispersity:0.148319 contrast:3.373131 contrast_2:1.065425 REGRESSED radius:406.596122 shell:197.933563 polydispersity:0.213102 contrast:3.316005 contrast_2:1.330960
5 TRUE radius:291.177827 shell:218.514748 polydispersity:0.246981 contrast:2.171647 contrast_2:0.687678 REGRESSED radius:308.584897 shell:155.485195 polydispersity:0.240876 contrast:2.028743 contrast_2:1.581721
6 TRUE radius:309.742020 shell:212.682338 polydispersity:0.152363 contrast:1.857894 contrast_2:2.344364 REGRESSED radius:328.965057 shell:169.389361 polydispersity:0.217227 contrast:1.772440 contrast_2:2.431282
7 TRUE radius:66.788295 shell:38.812606 polydispersity:0.346011 contrast:3.408041 contrast_2:2.101863 REGRESSED radius:64.501236 shell:35.674799 polydispersity:0.263710 contrast:3.518653 contrast_2:1.774411
8 TRUE radius:341.190129 shell:180.315716 polydispersity:0.227970 contrast:3.443301 contrast_2:3.383700 REGRESSED radius:322.222892 shell:143.307795 polydispersity:0.268773 contrast:3.407974 contrast_2:2.418645
9 TRUE radius:428.054948 shell:388.339918 polydispersity:0.224807 contrast:2.911177 contrast_2:1.962694 REGRESSED radius:433.438618 shell:236.321663 polydispersity:0.359135 contrast:2.880704 contrast_2:3.280226
10 TRUE radius:111.884102 shell:46.696692 polydispersity:0.181318 contrast:1.686576 contrast_2:1.098418 REGRESSED radius:139.631941 shell:73.790745 polydispersity:0.230836 contrast:1.521673 contrast_2:1.874109
12 TRUE radius:62.474978 shell:42.122512 polydispersity:0.215358 contrast:3.263199 contrast_2:2.219910 REGRESSED radius:61.578903 shell:34.151857 polydispersity:0.217099 contrast:3.314344 contrast_2:2.093930
13 TRUE radius:95.377630 shell:80.507464 polydispersity:0.286399 contrast:2.678602 contrast_2:2.699749 REGRESSED radius:102.021514 shell:51.093196 polydispersity:0.226825 contrast:2.702569 contrast_2:1.639777
14 TRUE radius:54.046345 shell:40.063003 polydispersity:0.113286 contrast:1.819209 contrast_2:1.336261 REGRESSED radius:63.702221 shell:34.866397 polydispersity:0.178417 contrast:1.764709 contrast_2:1.584125
15 TRUE radius:450.850587 shell:254.217956 polydispersity:0.198836 contrast:0.923584 contrast_2:0.948752 REGRESSED radius:395.855396 shell:202.905269 polydispersity:0.187841 contrast:0.881003 contrast_2:1.094875
17 TRUE radius:447.016340 shell:168.593888 polydispersity:0.287468 contrast:2.011072 contrast_2:1.126247 REGRESSED radius:458.633168 shell:224.129135 polydispersity:0.281967 contrast:1.937906 contrast_2:1.289318
18 TRUE radius:306.523948 shell:179.993417 polydispersity:0.240500 contrast:3.135039 contrast_2:2.196927 REGRESSED radius:302.463061 shell:146.110385 polydispersity:0.223044 contrast:3.182825 contrast_2:1.793333
19 TRUE radius:188.573821 shell:36.451205 polydispersity:0.198227 contrast:1.326047 contrast_2:3.111084 REGRESSED radius:181.111931 shell:80.798026 polydispersity:0.253447 contrast:2.253150 contrast_2:1.825910
21 TRUE radius:123.056969 shell:47.026188 polydispersity:0.210464 contrast:3.347165 contrast_2:1.827134 REGRESSED radius:107.165206 shell:50.960292 polydispersity:0.285488 contrast:3.338490 contrast_2:1.735381
22 TRUE radius:75.389839 shell:55.054137 polydispersity:0.252128 contrast:1.972995 contrast_2:3.097002 REGRESSED radius:79.877423 shell:45.482031 polydispersity:0.192582 contrast:2.015109 contrast_2:2.245691
23 TRUE radius:81.026399 shell:47.961109 polydispersity:0.171650 contrast:2.318541 contrast_2:0.846921 REGRESSED radius:83.443269 shell:45.513166 polydispersity:0.260124 contrast:2.247495 contrast_2:1.826354
24 TRUE radius:399.008430 shell:176.322735 polydispersity:0.261607 contrast:2.050809 contrast_2:1.331621 REGRESSED radius:410.467667 shell:214.108868 polydispersity:0.242818 contrast:1.897242 contrast_2:1.568548
25 TRUE radius:76.610804 shell:51.399447 polydispersity:0.258667 contrast:1.022485 contrast_2:1.894749 REGRESSED radius:96.265738 shell:52.698920 polydispersity:0.187139 contrast:1.045857 contrast_2:1.839421
26 TRUE radius:89.436548 shell:54.777567 polydispersity:0.324675 contrast:1.870379 contrast_2:1.836348 REGRESSED radius:106.521000 shell:57.243538 polydispersity:0.241964 contrast:1.721184 contrast_2:1.733483
27 TRUE radius:420.664684 shell:386.924185 polydispersity:0.335939 contrast:0.583151 contrast_2:2.146578 REGRESSED radius:364.412759 shell:250.010054 polydispersity:0.272938 contrast:0.391995 contrast_2:0.889912
28 TRUE radius:112.577757 shell:57.612778 polydispersity:0.102186 contrast:1.094004 contrast_2:2.980509 REGRESSED radius:116.780117 shell:72.924274 polydispersity:0.165270 contrast:1.335514 contrast_2:2.842291
